Smiles,pChEMBL_Value
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(S(C)(=O)=O)c1-c1ccccc1,10
Cc1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4Br)CC3)n2)ccc1F,10
CC(C)c1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4Br)CC3)n2)ccn1,9.82
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,9.8
N[C@H](COc1cncc(-c2ccc3c(c2)C(c2ccco2)C(=O)N3)c1)Cc1c[nH]c2ccccc12,9.77
CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C)c3)cn2CC2CN(C)C2)CC1,9.52
Cn1cc(-c2cc3c(cn2)[nH]c2ncc(-c4ccc(CN5CCCCC5)cc4)cc23)cn1,9.51
N[C@]1(c2ccc(-c3nc4ccc5nnc(C(F)F)n5c4cc3-c3ccccc3)cc2)C[C@](O)(C2CC2)C1,9.47
Cc1n[nH]c2cnc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,9.47
C[C@]1(O)C[C@@](N)(c2ccc(-c3nc4ccc5nnc(C(F)F)n5c4cc3-c3ccccc3)cc2)C1,9.42
C[C@H]1CN(c2cc(=O)c3cc(C(=O)N(C)C)cc([C@@H](C)Nc4cc(F)cc(F)c4)c3o2)CCO1,9.4
CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(Cl)c3)cn2CCN2CCCC2)CC1,9.4
c1ncc(-c2cc3c(cn2)[nH]c2ncc(-c4ccc(CN5CCCCC5)cc4)cc23)o1,9.34
Cc1c(Cn2c(C)nn3c(=O)cc(N4CCOC(C)C4)nc23)cccc1C(F)(F)F,9.3
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(NCCS(C)(=O)=O)c1-c1ccccc1,9.3
CCNCCn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2OC(C)C)CC1,9.28
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(OC[C@H](N)Cc3ccccc3)cc21,9.22
CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)C[C@@H]2CC[C@H]3N2C(C)(C)C(=O)NC)cc1,9.22
N[C@H](COc1cncc(-c2ccc3c(c2)/C(=C/c2ccc[nH]2)C(=O)N3)c1)Cc1ccccc1,9.22
Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C)c4)cc2OCC3)n(C(C)C)n1,9.15
N[C@]1(c2ccc(-c3nc4ccc5nnc(C6NCNN6)n5c4cc3-c3ccccc3)cc2)C[C@](O)(C2CC2)C1,9.15
Cc1cc(-c2cn(CCNC3CCCC3)c(C3CCN(c4ncnc(N)c4C#N)CC3)n2)ccc1F,9.15
CC(C)CNCCn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2C#N)CC1,9.15
Cc1ccc(C2C(=O)Nc3ccc(-c4cncc(OC[C@@H](N)Cc5c[nH]c6ccccc56)c4)cc32)o1,9.15
CCN1CCc2sc(-c3cnc4[nH]c5cnc(C#N)cc5c4c3)cc2C1,9.11
COc1c(-c2ccccc2)c([C@H](C)Nc2ncnc(N)c2C#N)nc2ccc(F)cc12,9.1
N#Cc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C(F)(F)F)c3)cn2CCNC2CCCC2)CC1,9.1
CCOc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C)c3)cn2CCN(CC)CC)CC1,9.1
Cc1csc2cc([C@H](C)Nc3ncnc(N)c3C#N)c(-c3ccccc3)c(=O)n12,9.1
CCc1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2cnccc2c1,9.1
Cc1cc(-c2cn(CCN(C)C)c(C3CCN(c4ncnc(N)c4C#N)CC3)n2)ccc1F,9.05
N[C@H](COc1cncc(-c2ccc3c(c2)C(c2cccs2)C(=O)N3)c1)Cc1c[nH]c2ccccc12,9.05
Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C5CN(C(=O)[C@H](C)O)C5)c4)cc2OCC3)n(C(C)C)n1,9.03
c1nnc(-c2cc3c(cn2)[nH]c2ncc(-c4ccc(CN5CCCCC5)cc4)cc23)o1,9.02
c1cncc(-c2cc3c(cn2)[nH]c2ncc(-c4ccc(CN5CCCCC5)cc4)cc23)c1,9.02
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(O[C@@H](CN)c3ccccc3)cc21,9
COc1ncc(Nc2ncc(CN3CCN(S(C)(=O)=O)C[C@H]3C)cc2-c2nc(C)nc(N)n2)cc1F,9
COc1ncc(Nc2ncc([C@@H](C)N3CCN(S(C)(=O)=O)C[C@@H]3C)cc2-c2nc(C)nc(N)n2)cc1F,9
N[C@H](COc1cncc(-c2ccc3[nH]nc(Cl)c3c2)c1)Cc1c[nH]c2ccccc12,9
O=C(c1nnc[nH]1)N1[C@H]2CC[C@@H]1C[C@@H](c1nc3c(-c4ccc(-c5ncc[nH]5)nc4)cnn3c3[nH]ccc13)C2,9
O=C(c1nnc[nH]1)N1[C@H]2CC[C@@H]1C[C@@H](c1nc3c(-c4ccc(-c5ccccc5)nc4)cnn3c3[nH]ncc13)C2,9
Cc1n[nH]c2c1c([C@H]1C[C@@H]3CC[C@H](C1)N3C(=O)c1nnc[nH]1)nc1c(-c3ccc(-c4ccccc4)nc3)cnn12,9
Nc1nc([C@H]2C[C@@H]3CC[C@H](C2)N3C(=O)c2nnc[nH]2)cn2c(-c3ccc(-c4ccccc4)nc3)cnc12,9
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c(Br)cccc21,9
C[C@@H](Nc1cc(F)cc(Cl)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,9
N#Cc1cc2c(cn1)[nH]c1ncc(-c3ccc(CN4CCCCC4)cc3)cc12,9
CC1Cc2c(ccc(F)c2F)N1C(=S)Cc1nc(N2CCOCC2)c(F)c(=S)[nH]1,9
CC1Cc2c(ccc(F)c2F)N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,9
Nc1ncnc(N2CCC(c3nc(-c4ccc(F)c(C(F)(F)F)c4)cn3CCN3CCC3)CC2)c1Cl,9
CC1Cc2c(ccc(F)c2Cl)N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,9
Nc1ncnc(N2CCC(c3nc(-c4ccc(F)c(C(F)(F)F)c4)cn3CCN3CCCC3)CC2)c1C=O,9
CC1Cc2c(Cl)cccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,9
Cc1csc2cc([C@H](C)Nc3ncnc(N)c3C#N)c(-c3cccc(CN4CCN(CCN5CCOCC5)CC4)c3)c(=O)n12,9
c1cc(-c2cnc3[nH]c4cnc(-c5cnoc5)cc4c3c2)ccc1CN1CCCCC1,8.96
O=C(c1cc([C@H]2CCCN2c2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1)N1CCOCC1,8.96
CCc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,8.94
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(N2CCOCC2)c1-c1ccccn1,8.92
C[C@H](NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3cnn(C)c3)c2c(=O)n1-c1ccccc1,8.92
CN(C)C(=O)c1cc([C@H]2CCCN2c2cccc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1,8.92
CN(C)C(=O)c1cc(C2CCCN2c2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1,8.92
N[C@H](COc1cncc(-c2ccc3[nH]nc(-c4ccc[nH]4)c3c2)c1)Cc1c[nH]c2ccccc12,8.92
Cc1csc2cc([C@H](C)Nc3ncnc(N)c3C#N)c(Cc3cccc(CNCCCCOCCc4ccccc4)c3)c(=O)n12,8.9
Cc1csc2cc([C@H](C)Nc3ncnc(N)c3C#N)c(-c3cccc(CN4CCC(N(C)CC(C)C)CC4)c3)c(=O)n12,8.9
CCN(CCN1CCOCC1)Cc1cccc(-c2c([C@H](C)Nc3ncnc(N)c3C#N)cc3scc(C)n3c2=O)c1,8.9
CN1CCN(c2ccc(-c3cnc4[nH]c5cnc(C#N)cc5c4c3)cc2)CC1,8.89
c1ncc(-c2cc3c(cn2)[nH]c2ncc(-c4ccc(CN5CCCCC5)cc4)cc23)s1,8.89
N#Cc1c(N)ncnc1N1CCC(c2nc(-c3cnc(F)c(Cl)c3)cn2CCN2CCC2)CC1,8.89
N[C@H](COc1cncc(-c2ccc3[nH]nc(-c4cccs4)c3c2)c1)Cc1c[nH]c2ccccc12,8.89
CN(C)C(=O)c1cc(C2CCCN2c2cc(F)cc(F)c2)c2nc(N3CCOCC3)cnc2c1,8.87
