nN,ATSC4c,ATSC1v,SpMin4_Bhm,SpMin5_Bhm,SpMin6_Bhm,SpMin7_Bhm,SpMin4_Bhv,SpMin8_Bhv,SpMax3_Bhe,SpMin6_Bhe,SpMin2_Bhp,SpMin4_Bhp,SpMin6_Bhp,SpMax3_Bhi,SpMin7_Bhs,SpMin8_Bhs,C2SP2,SCH-5,SCH-6,VCH-6,nHaaCH,naaCH,SHBint2,SHaaCH,SHother,SaaCH,SaaN,maxHaaCH,maxHCsats,maxHother,maxsNH2,hmin,ETA_BetaP_s,HybRatio,IC3,MDEC-23,MDEC-33,MDEO-11,MDEN-23,MDEN-33,MPC10,piPC6,piPC8,piPC10,nHeteroRing,topoRadius,WTPT-4,WTPT-5,XLogP,pChemBL
5.0,0.183691023,-123.21344440000001,1.750754277,1.5859503469999998,1.44629984,1.395779405,1.7749992330000002,1.320232633,3.726868236,1.2716485659999999,1.9642558890000001,1.778568006,1.45612622,3.768520933,1.222295493,1.085947622,7.0,0.0,0.361741773,0.13126273800000002,5.0,5.0,0.0,2.7649741189999997,2.7649741189999997,9.732599674,14.84756253,0.563313076,0.67679566,0.563313076,0.0,-0.18945579,0.69853,0.48,5.095219159,26.85072891,11.02907771,0.0,2.121320344,0.25,340.0,6.924428012999999,7.991362321,8.939872306,4.0,7.0,11.2670525,16.67175273,2.188,6.82
5.0,0.052198391,205.1746371,1.7844111919999999,1.4689747569999998,1.227864622,1.115266881,1.778385246,1.0918757909999999,3.834773485,1.136826238,1.992411925,1.765171232,1.399389541,3.8710351430000003,0.904976832,0.8283843320000001,13.0,0.37506381299999997,0.762728139,0.28485719600000003,10.0,10.0,8.638648675,4.80416443,6.0466680010000005,20.7276278,5.006665722,0.556410108,0.411010628,0.646822773,6.50968894,-0.114131354,0.65323,0.16,4.993614958,31.67949103,11.35633787,0.0,1.190550789,0.0,363.0,7.109419798999999,8.24199948,9.193246269,3.0,7.0,2.565236648,15.38996438,6.575,7.64
7.0,-0.17767185100000002,37.52783616,1.769680937,1.4867883869999998,1.3614913240000002,1.309676006,1.8361450330000002,1.2892158809999998,3.8506505989999997,1.259727136,1.9703041019999998,1.8453780069999999,1.5392979230000001,3.882027861,1.119653452,1.014140392,13.0,0.11785113,0.47565901,0.130746188,15.0,15.0,15.79540539,9.315574234,9.315574234,23.96551155,13.12988009,0.746386621,0.0,0.746386621,0.0,-0.014565798999999999,0.68243,0.076923077,5.398593742,27.68869502,7.61475117,0.0,1.374729637,0.0,210.0,6.8313634510000005,7.783044964,8.584202169,3.0,10.0,2.556013944,22.09821052,5.5889999999999995,4.3
15.0,-1.568587816,307.4967435,1.8511088230000001,1.82281009,1.762961226,1.732580617,1.861941041,1.681294967,3.776560298,1.5830079330000002,1.914787284,1.8625997090000002,1.77540479,3.8163529489999997,1.549561409,1.4668283519999998,5.0,0.11785113,0.219416097,0.119064871,4.0,4.0,57.01702926,2.1926873,2.1926873,5.883016215,0.0,0.566225664,1.003137282,0.566225664,6.188278015,-0.177538552,0.63281,0.634146341,5.84923949,0.0,22.74020476,2.88637426,0.927030305,0.0,171.0,5.458521117999999,5.816739067,5.889570238999999,1.0,14.0,20.27606435,41.33585739,-0.19399999999999998,6.03
1.0,0.46452754700000004,196.6213859,1.633266374,1.434091047,1.328893031,1.082250302,1.660534274,1.016206086,3.8073633719999997,1.092010263,1.975766572,1.67070674,1.352513242,3.829589846,0.91376613,0.850296122,19.0,0.15713484,0.67272605,0.199353406,10.0,10.0,0.0,5.643161031,6.306490113,17.84497073,0.0,0.6960068009999999,0.0,0.6960068009999999,0.0,-0.11770789999999999,0.64167,0.041666667000000004,5.096934064,30.79519793,19.54873931,0.655185349,0.0,0.0,285.0,7.0914951,8.146986253,8.994671986,2.0,6.0,13.65572832,3.216335555,4.843999999999999,6.42
5.0,0.045544149000000006,74.45606975,1.673648675,1.422560857,1.415722504,1.3899179640000001,1.714913757,1.2627522759999998,3.676638688,1.068398421,1.96638571,1.7177154159999999,1.37778039,3.702630632,1.092103474,1.052099395,9.0,0.0,0.25,0.07462476900000001,7.0,7.0,0.0,4.40249369,4.40249369,12.71157467,13.38006009,0.660032519,0.691466858,0.660032519,6.291259545,-0.12550553,0.6612899999999999,0.260869565,5.159771663,24.91007812,14.88834242,0.0,0.0,0.0,262.0,7.203730988999999,8.354455488,9.323976366,3.0,8.0,8.671683209,14.41379342,1.5859999999999999,6.5
5.0,0.097983755,72.7340197,1.6802810609999999,1.5733114680000002,1.421605124,1.401160977,1.726749114,1.2728148240000001,3.691498768,1.170105385,1.9670431780000002,1.739226009,1.416787231,3.733972615,1.087883874,1.055661365,9.0,0.0,0.25,0.07462476900000001,7.0,7.0,0.0,4.370412196,4.370412196,12.76497358,13.45065396,0.657481498,0.691466858,0.657481498,6.319557812999999,-0.181061085,0.65152,0.32,5.163558407,26.16841048,15.57827326,0.0,0.0,0.0,270.0,7.205217495,8.356571358,9.327584808,3.0,9.0,8.686065545,14.45608692,2.6630000000000003,6.04
5.0,0.097983755,72.7340197,1.6802810609999999,1.5733114680000002,1.421605124,1.401160977,1.726749114,1.2728148240000001,3.691498768,1.170105385,1.9670431780000002,1.739226009,1.416787231,3.733972615,1.087883874,1.055661365,9.0,0.0,0.25,0.07462476900000001,7.0,7.0,0.0,4.370412196,4.370412196,12.76497358,13.45065396,0.657481498,0.691466858,0.657481498,6.319557812999999,-0.181061085,0.65152,0.32,5.163558407,26.16841048,15.57827326,0.0,0.0,0.0,270.0,7.205217495,8.356571358,9.327584808,3.0,9.0,8.686065545,14.45608692,2.6630000000000003,5.86
5.0,0.068798285,77.09700881,1.626054704,1.421602513,1.401049674,1.262819522,1.6334976159999999,1.141523763,3.6689463769999997,1.067885685,1.964798303,1.621171236,1.377412069,3.6900235360000004,1.064172967,0.87710251,9.0,0.0,0.25,0.07462476900000001,7.0,7.0,0.0,4.4483513519999995,4.4483513519999995,12.63665744,13.28293535,0.670639196,0.691466858,0.670639196,6.255042832000001,-0.02300553,0.6724100000000001,0.19047619,5.01366069,23.26463837,14.28575639,0.0,0.0,0.0,251.0,7.19813683,8.347281192,9.314783876,3.0,8.0,8.634216612000001,14.37754701,0.768,6.4
5.0,0.057783811,75.63204889,1.6676150859999999,1.421665138,1.4023249759999998,1.274726139,1.696938821,1.142027352,3.672847705,1.067938592,1.9658566219999998,1.689578836,1.3775252359999999,3.6954319860000004,1.070380041,0.9264215309999999,9.0,0.0,0.25,0.07462476900000001,7.0,7.0,0.0,4.4225182819999995,4.4225182819999995,12.65990853,13.32999755,0.663694752,0.691466858,0.663694752,6.273238424,-0.08550553,0.66667,0.22727272699999998,5.081417388,23.81075356,14.88834242,0.0,0.0,0.0,257.0,7.201497079,8.35206977,9.320581585,3.0,8.0,8.647269499,14.34200111,1.228,6.15
