nN,ATSC3c,AATSC2v,AATSC2p,AATSC3i,AATSC8s,MATS2c,MATS2v,MATS2p,MATS3i,MATS8s,GATS4c,GATS8m,GATS7e,GATS8i,GATS8s,VE2_DzZ,VE2_Dzm,VE2_Dze,VE2_Dzi,nBondsT,SpMin4_Bhm,SpMax3_Bhe,SpMin3_Bhp,SpMax2_Bhi,SpMin6_Bhs,C1SP2,C1SP3,SCH-5,SCH-6,SCH-7,VCH-6,SPC-6,SP-4,SP-6,ASP-1,ASP-3,ASP-4,ASP-5,ASP-7,VE1_Dt,VE2_Dt,nHBd,nHBint2,nHBint3,nHBint8,nHssNH,nHaaCH,naaCH,naasC,nssNH,naaN,nsssN,SHBd,SHBint2,SHssNH,SHaaCH,SaaN,SsssN,minHBint9,mintsC,mindssC,minsNH2,mintN,mindsN,minssO,maxHBint2,maxHBint7,maxtsC,maxdssC,maxsNH2,maxtN,maxdsN,hmin,ETA_Shape_Y,ETA_BetaP_s,nHBDon,IC1,IC2,IC3,SIC2,BIC2,ZMIC2,ZMIC3,nAtomLC,nAtomLAC,MDEC-13,MDEC-33,MDEN-13,MPC3,MPC4,MPC5,MPC6,MPC7,MPC8,MPC9,MPC10,TPC,piPC6,piPC8,piPC10,n7Ring,nFRing,nF11Ring,nFG12Ring,nT9Ring,nT11Ring,nTG12Ring,nHeteroRing,n5HeteroRing,n6HeteroRing,n7HeteroRing,nF9HeteroRing,nF11HeteroRing,nFG12HeteroRing,nT5HeteroRing,nT6HeteroRing,nT9HeteroRing,nT11HeteroRing,nTG12HeteroRing,nRotB,RotBFrac,LipinskiFailures,topoRadius,topoDiameter,GGI5,VE1_D,VE2_D,MWC8,MWC9,MWC10,XLogP,pChemBL
5.0,-0.145568596,6.5208421770000005,0.033281754,-0.19204500800000002,0.005802297,-0.043264575,0.13312322599999998,0.151351494,-0.129099414,0.007687136999999999,0.838928621,1.057424135,0.8403125909999999,0.988756222,0.737596211,0.000195167,0.000199199,0.00024050099999999998,0.001885846,0.0,1.750754277,3.726868236,1.8661635730000001,3.914162901,1.244935741,2.0,9.0,0.0,0.361741773,0.639198186,0.13126273800000002,12.75869288,11.30804469,6.774217776,0.43553622299999994,0.17358041800000001,0.111960839,0.069281092,0.027204992,0.130392478,0.003835073,1.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,0.0,3.0,2.0,0.500299803,0.0,0.0,2.7649741189999997,14.84756253,4.441207889,0.0,0.0,0.0,0.0,0.0,0.0,5.347932836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18945579,0.36632,0.69853,1.0,3.4982051480000003,4.7935323830000005,5.095219159,0.7959547690000001,0.762645288,33.17921947,30.60477944,2.0,0.0,5.033526007,11.02907771,0.0,74.0,101.0,136.0,157.0,197.0,239.0,297.0,340.0,1667.0,6.924428012999999,7.991362321,8.939872306,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.131578947,0.0,7.0,14.0,1.298611111,0.17996495,0.005293086999999999,10.57016241,11.46956901,12.37680649,2.188,6.82
5.0,-0.052259375999999996,-1.311601546,-0.006194759,-0.119897731,-0.02852805,0.117528349,-0.026376472999999998,-0.027534345,-0.072937465,-0.030171793,0.8857296459999999,1.0854297370000001,0.717116179,1.097453162,0.829035106,0.009806246,0.009800574,0.009768086,0.010892983,0.0,1.7844111919999999,3.834773485,1.856496044,3.952243821,1.0275134959999999,2.0,0.0,0.37506381299999997,0.762728139,1.013922225,0.28485719600000003,13.24454655,10.83576081,6.63528309,0.420053933,0.16725199599999999,0.105201561,0.06513375099999999,0.025619198,0.17250811,0.005564778,2.0,2.0,0.0,0.0,1.0,10.0,10.0,7.0,1.0,1.0,1.0,0.9549186709999999,8.638648675,0.638530527,4.80416443,5.006665722,1.506515204,0.0,0.0,-0.259690255,6.50968894,0.0,4.2096065010000006,0.0,7.676692728,0.0,0.0,0.5732740789999999,6.50968894,0.0,4.2096065010000006,-0.114131354,0.33034,0.65323,2.0,3.560855469,4.402671575,4.993614958,0.7723389409999999,0.718301237,36.78781449,29.93983943,0.0,0.0,0.0,11.35633787,0.090909091,78.0,103.0,136.0,165.0,214.0,266.0,322.0,363.0,1768.0,7.109419798999999,8.24199948,9.193246269,0.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,0.083333333,1.0,7.0,14.0,1.3508333330000002,0.207666696,0.006698926,10.69876253,11.61990367,12.54789128,6.575,7.64
7.0,0.07808725400000001,-4.40127782,-0.0045692829999999995,-0.28065547,-0.112216361,0.142885125,-0.09791281199999999,-0.020252062,-0.09993120300000001,-0.040386702000000003,1.106364178,0.999450653,0.442632514,0.719263504,0.62366692,0.004769268,0.004681811,0.004816048,0.004846015,0.0,1.769680937,3.8506505989999997,1.9183442819999998,3.9340519030000003,1.18388062,7.0,2.0,0.11785113,0.47565901,0.622175338,0.130746188,11.04337725,11.17067576,6.042566066,0.43530458,0.180463208,0.11758606099999999,0.075682632,0.03145128,0.202875506,0.005483121999999999,3.0,4.0,0.0,0.0,3.0,15.0,15.0,7.0,3.0,3.0,0.0,1.4305010230000001,15.79540539,1.4305010230000001,9.315574234,13.12988009,0.0,0.918815297,0.0,-0.672035235,0.0,0.0,0.0,0.0,6.812369417999999,6.551467961,0.0,0.0,0.0,0.0,0.0,-0.014565798999999999,0.2884,0.68243,3.0,3.677763876,4.76746798,5.398593742,0.8173423409999999,0.7618942759999999,39.0048539,34.04885408,4.0,0.0,0.0,7.61475117,0.0,73.0,95.0,118.0,127.0,153.0,168.0,190.0,210.0,1270.0,6.8313634510000005,7.783044964,8.584202169,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,9.0,0.219512195,1.0,10.0,19.0,1.1875,0.11146970199999999,0.003012695,10.50344979,11.37401966,12.25900185,5.5889999999999995,4.3
15.0,0.51546438,-4.76821486,-0.028556988999999998,0.088747841,0.33615280200000003,0.157321629,-0.10389951,-0.14466843599999998,0.063773152,0.149254743,1.273763084,0.981212729,1.300991633,1.039617042,0.985093453,0.001983626,0.0019836520000000002,0.0019846910000000002,0.001919106,0.0,1.8511088230000001,3.776560298,1.896180629,3.901261823,1.6030263319999998,7.0,7.0,0.11785113,0.219416097,0.405021604,0.119064871,16.37308366,14.63796405,7.210365907999999,0.46563497600000003,0.198305995,0.126189345,0.084520204,0.033239147000000004,0.404548974,0.006321078000000001,15.0,18.0,20.0,20.0,7.0,4.0,4.0,2.0,7.0,0.0,1.0,6.322305608,57.01702926,2.276266229,2.1926873,0.0,1.3879948999999998,0.403749577,0.0,-0.807752453,5.31397951,0.0,0.0,0.0,6.454904005,5.263563955,0.0,0.0,6.188278015,0.0,0.0,-0.177538552,0.33943,0.63281,15.0,3.492463463,4.90073551,5.84923949,0.692505753,0.6797652,67.71362133,44.27343085,41.0,6.0,5.696316266,22.74020476,0.7688828670000001,100.0,116.0,134.0,137.0,146.0,162.0,164.0,171.0,1345.0,5.458521117999999,5.816739067,5.889570238999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,0.553846154,3.0,14.0,28.0,2.475833333,0.107781204,0.001684081,10.72755334,11.57560914,12.43097864,-0.19399999999999998,6.03
1.0,-0.234616128,1.83145446,-0.00023103099999999998,-0.152061088,0.027539215,-0.058843603,0.038389133,-0.000992861,-0.10583233199999999,0.016249878,0.778869148,0.95413566,0.9833328590000001,1.0014011459999999,1.02729322,0.005223633,0.005226683,0.005225302,0.0058419119999999995,0.0,1.633266374,3.8073633719999997,1.919210869,3.952293231,1.124762893,0.0,0.0,0.15713484,0.67272605,1.160055839,0.199353406,13.30642678,10.6484272,6.5464417589999995,0.427824859,0.167267034,0.105429972,0.065249809,0.025953725,0.030625046,0.001020835,3.0,0.0,0.0,2.0,0.0,10.0,10.0,8.0,0.0,0.0,0.0,1.4143730769999998,0.0,0.0,5.643161031,0.0,0.0,1.913079973,0.0,-0.445594634,0.0,0.0,0.0,5.369341727,0.0,0.0,0.0,0.061852797,0.0,0.0,0.0,-0.11770789999999999,0.42654,0.64167,3.0,3.4688885060000003,4.475247236,5.096934064,0.805684697,0.7444814590000001,34.1661169,28.87215552,1.0,0.0,1.8937348059999999,19.54873931,0.0,71.0,101.0,131.0,156.0,188.0,231.0,259.0,285.0,1536.0,7.0914951,8.146986253,8.994671986,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.088235294,0.0,6.0,12.0,1.174722222,0.074598793,0.002486626,10.61213892,11.5335023,12.46382243,4.843999999999999,6.42
5.0,0.17976019199999999,10.21694281,0.047514975,-0.010769041000000002,0.054555676,-0.12207118199999999,0.208722312,0.214643915,-0.006918114,0.07895596099999999,0.979308278,1.025786005,0.7837194279999999,1.053528383,0.8809164190000001,0.012965832,0.012971495,0.012980437,0.013375221999999999,0.0,1.673648675,3.676638688,1.785777544,3.9236379830000003,1.112980818,4.0,2.0,0.0,0.25,0.565879673,0.07462476900000001,11.70230402,9.571401762999999,6.2356204260000005,0.442139365,0.177379352,0.108765929,0.06800662,0.027596942000000003,0.175369897,0.005657093,2.0,0.0,1.0,1.0,0.0,7.0,7.0,6.0,0.0,3.0,0.0,0.9323683779999999,0.0,0.0,4.40249369,13.38006009,0.0,0.0,0.0,0.0,5.949842468,0.0,0.0,5.401030782,0.0,2.985179816,0.0,0.0,6.291259545,0.0,0.0,-0.12550553,0.37931,0.6612899999999999,2.0,3.664962005,4.860577243,5.159771663,0.836969207,0.791682806,31.59035352,27.55836525,6.0,4.0,4.986349052,14.88834242,0.0,66.0,88.0,122.0,144.0,176.0,210.0,252.0,262.0,1433.0,7.203730988999999,8.354455488,9.323976366,0.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,7.0,0.20588235300000002,0.0,8.0,16.0,1.291666667,0.25527858600000003,0.008234793,10.46740835,11.37454806,12.28648605,1.5859999999999999,6.5
5.0,0.152380303,9.933402165,0.045106895,-0.092684202,0.030935877999999997,-0.118493277,0.20018708,0.20234405,-0.060801232999999996,0.047249385,0.887180027,1.082944468,0.8116044440000001,1.21603352,0.90206521,0.016224668,0.016228136,0.016230221,0.016688101,0.0,1.6802810609999999,3.691498768,1.8275666680000002,3.9239134439999996,1.12621082,4.0,3.0,0.0,0.25,0.565879673,0.07462476900000001,12.17271432,10.2898666,6.301261567999999,0.44134945700000006,0.174763048,0.111846376,0.068408872,0.027801512999999996,0.224799544,0.0068121069999999995,2.0,0.0,1.0,1.0,0.0,7.0,7.0,6.0,0.0,3.0,0.0,0.8864512179999999,0.0,0.0,4.370412196,13.45065396,0.0,0.0,0.0,0.0,6.151509135,0.0,0.0,5.414015571,0.0,3.0071763469999997,0.0,0.0,6.319557812999999,0.0,0.0,-0.181061085,0.3871,0.65152,2.0,3.635975593,4.893318286,5.163558407,0.821826831,0.7820065509999999,32.72172447,28.93308724,8.0,5.0,6.75617135,15.57827326,0.0,68.0,92.0,124.0,146.0,180.0,214.0,258.0,270.0,1472.0,7.205217495,8.356571358,9.327584808,0.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,8.0,0.222222222,0.0,9.0,17.0,1.291666667,0.30604892300000003,0.00927421,10.50064682,11.40236255,12.31292055,2.6630000000000003,6.04
5.0,0.152380303,9.933402165,0.045106895,-0.092684202,0.030935877999999997,-0.118493277,0.20018708,0.20234405,-0.060801232999999996,0.047249385,0.887180027,1.082944468,0.8116044440000001,1.21603352,0.90206521,0.016224668,0.016228136,0.016230221,0.016688101,0.0,1.6802810609999999,3.691498768,1.8275666680000002,3.9239134439999996,1.12621082,4.0,3.0,0.0,0.25,0.565879673,0.07462476900000001,12.17271432,10.2898666,6.301261567999999,0.44134945700000006,0.174763048,0.111846376,0.068408872,0.027801512999999996,0.224799544,0.0068121069999999995,2.0,0.0,1.0,1.0,0.0,7.0,7.0,6.0,0.0,3.0,0.0,0.8864512179999999,0.0,0.0,4.370412196,13.45065396,0.0,0.0,0.0,0.0,6.151509135,0.0,0.0,5.414015571,0.0,3.0071763469999997,0.0,0.0,6.319557812999999,0.0,0.0,-0.181061085,0.3871,0.65152,2.0,3.635975593,4.893318286,5.163558407,0.821826831,0.7820065509999999,32.72172447,28.93308724,8.0,5.0,6.75617135,15.57827326,0.0,68.0,92.0,124.0,146.0,180.0,214.0,258.0,270.0,1472.0,7.205217495,8.356571358,9.327584808,0.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,8.0,0.222222222,0.0,9.0,17.0,1.291666667,0.30604892300000003,0.00927421,10.50064682,11.40236255,12.31292055,2.6630000000000003,5.86
5.0,0.16952608,11.36817375,0.057190662999999996,0.070992732,0.058645655,-0.13252699099999998,0.23708502899999997,0.26109581600000004,0.044470247000000004,0.080261993,0.85409601,1.043698096,0.774164463,1.053535608,0.885662919,0.008595533,0.008600679,0.00861636,0.008478455,0.0,1.626054704,3.6689463769999997,1.756697827,3.9227588360000003,1.098235045,4.0,2.0,0.0,0.25,0.565879673,0.07462476900000001,11.40164565,9.339856841,6.028821436,0.441840361,0.17314802199999998,0.108602987,0.068061205,0.027527611,0.11732011699999999,0.004045521,2.0,0.0,1.0,1.0,0.0,7.0,7.0,6.0,0.0,3.0,0.0,1.026778387,0.0,0.0,4.4483513519999995,13.28293535,0.0,0.0,0.0,0.0,5.505398024,0.0,0.0,5.385432177999999,0.0,2.9224143280000003,0.0,0.0,6.255042832000001,0.0,0.0,-0.02300553,0.37037,0.6724100000000001,2.0,3.646049882,4.67856294,5.01366069,0.8289656540000001,0.77830412,32.00600159,27.69291317,4.0,2.0,3.701163597,14.28575639,0.0,63.0,86.0,119.0,140.0,171.0,203.0,243.0,251.0,1382.0,7.19813683,8.347281192,9.314783876,0.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,6.0,0.1875,0.0,8.0,15.0,1.236111111,0.196930382,0.006790703,10.43220221,11.34286049,12.25791054,0.768,6.4
5.0,0.156210495,11.57396483,0.05437416900000001,0.00457315,0.060208305,-0.11769524199999999,0.238631521,0.24679151300000002,0.0029027859999999996,0.08458606099999999,0.9140104929999999,1.057754378,0.788108624,1.132962121,0.867930344,0.010572243,0.010578158,0.010590826000000001,0.010786994,0.0,1.6676150859999999,3.672847705,1.769053306,3.923374038,1.099386385,4.0,2.0,0.0,0.25,0.565879673,0.07462476900000001,11.67789625,9.416093154,6.113290387,0.439234351,0.173354137,0.108230956,0.06816522400000001,0.02754529,0.149638504,0.00498795,2.0,0.0,1.0,1.0,0.0,7.0,7.0,6.0,0.0,3.0,0.0,0.9670905999999999,0.0,0.0,4.4225182819999995,13.32999755,0.0,0.0,0.0,0.0,5.769286912,0.0,0.0,5.392949184,0.0,2.957777315,0.0,0.0,6.273238424,0.0,0.0,-0.08550553,0.39286,0.66667,2.0,3.658286785,4.765287436,5.081417388,0.831940226,0.784175093,31.83366385,27.66637318,5.0,3.0,5.273307711,14.88834242,0.0,64.0,87.0,121.0,142.0,174.0,207.0,248.0,257.0,1410.0,7.201497079,8.35206977,9.320581585,0.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,6.0,0.181818182,0.0,8.0,15.0,1.291666667,0.221541176,0.0073847059999999996,10.45313958,11.36141629,12.27492217,1.228,6.15
