naAromAtom,nAromBond,BCUTc-1l,BCUTc-1h,BCUTp-1h,SpMax1_Bhm,SpMin1_Bhm,SpMin3_Bhm,SpMin4_Bhm,SpMax1_Bhv,SpMax2_Bhv,SpMin1_Bhv,SpMin7_Bhv,SpMax1_Bhe,SpMax3_Bhe,SpMin1_Bhe,SpMin2_Bhe,SpMin4_Bhe,SpMin6_Bhe,SpMin8_Bhe,SpMax1_Bhp,SpMax2_Bhp,SpMax3_Bhp,SpMin1_Bhp,SpMax1_Bhi,SpMin1_Bhi,SpMin2_Bhi,SCH-6,VCH-5,SpMAD_Dt,SHaaCH,SaaN,minHBa,maxaaN,hmin,nAtomP,MDEN-22,MDEN-23,MLFER_A,MLFER_BH,piPC5,piPC7,piPC8,piPC9,piPC10,TpiPC,R_TpiPCTPC,nTRing,WTPT-4,WTPT-5,pChemBL
16.0,18.0,-0.395197009,0.21182091100000003,11.04926927,4.06689363,2.082894214,1.84417766,1.750754277,4.003926314,3.79720213,2.129651806,1.376737094,4.084889041,3.726868236,2.0362108930000002,1.839001225,1.5620457630000002,1.2716485659999999,1.053046573,3.9949080219999997,3.786641494,3.5459304410000003,2.14438628,4.117164384,2.013465374,1.813721429,0.361741773,0.0,23.76475004,2.7649741189999997,14.84756253,2.188313695,5.009638145,-0.18945579,19.0,1.190550789,2.121320344,0.348,2.839,6.437201497999999,7.481229945,7.991362321,8.528420167,8.939872306,9.888853356,11.82270382,6.0,11.2670525,16.67175273,6.82
18.0,20.0,-0.324459367,0.303911241,11.85883856,4.0916389230000005,2.141224261,1.870068199,1.7844111919999999,4.063409346,3.852517782,2.148489746,1.139392306,4.113085425,3.834773485,2.089405246,1.90986197,1.653863981,1.136826238,0.813023651,4.061045977,3.857187195,3.72691002,2.148018796,4.134689917,2.073081716,1.88399491,0.762728139,0.21545042,26.55990538,4.80416443,5.006665722,1.506515204,5.006665722,-0.114131354,26.0,1.10520945,1.190550789,0.061,2.1069999999999998,6.583841356000001,7.7140602320000005,8.24199948,8.756425373999999,9.193246269,10.12267814,14.0839203,9.0,2.565236648,15.38996438,7.64
27.0,29.0,-0.291902394,0.41695962700000005,10.45585401,4.095335314,2.049118255,1.9112290230000002,1.769680937,3.9973829960000002,3.82147261,2.097400145,1.3350038770000001,4.115953162,3.8506505989999997,1.992038044,1.863835039,1.6957771640000001,1.259727136,1.04180148,3.981908197,3.817261882,3.757620375,2.1119275980000003,4.162630492,1.964412118,1.8411396169999998,0.47565901,0.033333333,26.63837373,9.315574234,13.12988009,2.431751749,4.734192707,-0.014565798999999999,26.0,2.576756416,1.374729637,-0.07,2.752,6.481624984,7.342774133,7.783044964,8.171346685,8.584202169,9.627424565,11.94826987,6.0,2.556013944,22.09821052,4.3
6.0,6.0,-0.386199196,0.226177978,11.05452637,3.83042993,1.9725553530000002,1.879488574,1.8511088230000001,3.8132707889999997,3.702209965,1.971061224,1.733267233,3.885392356,3.776560298,1.869240321,1.72057565,1.6680108830000002,1.5830079330000002,1.452821035,3.815582656,3.6891165999999997,3.606776403,1.970824886,3.912610757,1.848141401,1.6786499819999998,0.219416097,0.09128709300000001,24.73682863,2.1926873,0.0,1.3879948999999998,0.0,-0.177538552,7.0,2.6581674459999998,0.927030305,2.48,8.392000000000001,5.546397402999999,5.544933274,5.816739067,5.858647185,5.889570238999999,7.770856182,1.7617100369999998,2.0,20.27606435,41.33585739,6.03
21.0,23.0,-0.386170933,0.198694361,11.87716012,4.135209904,2.01952347,1.877156221,1.633266374,4.0969073389999995,3.8794525189999995,2.012380159,1.096232288,4.157766466,3.8073633719999997,1.946001163,1.893588694,1.543220999,1.092010263,0.810932952,4.090905835,3.8642391369999998,3.760442657,2.006680939,4.17979887,1.931769302,1.873523152,0.67272605,0.056765518,24.58756463,5.643161031,0.0,3.405863463,0.0,-0.11770789999999999,29.0,0.0,0.0,1.245,1.589,6.60833795,7.610075106,8.146986253,8.569907195,8.994671986,9.976049737,14.00012589,7.0,13.65572832,3.216335555,6.42
20.0,23.0,-0.37193260899999997,0.187751785,11.31281643,4.133843839,2.152307339,1.809741955,1.673648675,4.0961790989999995,3.82051678,2.184320168,1.355818107,4.150543253,3.676638688,2.1191515969999997,1.856413035,1.5548807919999998,1.068398421,1.013402403,4.089740954,3.81131693,3.5514694239999995,2.192161198,4.169677159,2.103816091,1.837309191,0.25,0.0,26.06467663,4.40249369,13.38006009,5.401030782,4.568806138,-0.12550553,24.0,0.595275394,0.0,0.272,2.419,6.66699655,7.7919133679999995,8.354455488,8.919698977000001,9.323976366,10.24748328,19.68628901,7.0,8.671683209,14.41379342,6.5
20.0,23.0,-0.371932611,0.187777389,11.31527324,4.133844729,2.152310049,1.882538424,1.6802810609999999,4.0961797760000005,3.8206394710000002,2.184322515,1.3906600669999998,4.150544551,3.691498768,2.119152564,1.856673529,1.594347369,1.170105385,1.038319363,4.08974158,3.811443601,3.564782076,2.1921634930000002,4.169678446,2.103817022,1.837525981,0.25,0.0,26.68703354,4.370412196,13.45065396,5.414015571,4.59200173,-0.181061085,24.0,0.595275394,0.0,0.272,2.437,6.6695377460000005,7.794388672999999,8.356571358,8.922403318999999,9.327584808,10.25076556,19.22771885,7.0,8.686065545,14.45608692,6.04
20.0,23.0,-0.371932611,0.187777389,11.31527324,4.133844729,2.152310049,1.882538424,1.6802810609999999,4.0961797760000005,3.8206394710000002,2.184322515,1.3906600669999998,4.150544551,3.691498768,2.119152564,1.856673529,1.594347369,1.170105385,1.038319363,4.08974158,3.811443601,3.564782076,2.1921634930000002,4.169678446,2.103817022,1.837525981,0.25,0.0,26.68703354,4.370412196,13.45065396,5.414015571,4.59200173,-0.181061085,24.0,0.595275394,0.0,0.272,2.437,6.6695377460000005,7.794388672999999,8.356571358,8.922403318999999,9.327584808,10.25076556,19.22771885,7.0,8.686065545,14.45608692,5.86
20.0,23.0,-0.371932616,0.18772499399999998,11.30544753,4.133832938,2.1522946640000002,1.693627987,1.626054704,4.096171943,3.820018882,2.184304739,1.2718407170000001,4.150530742,3.6689463769999997,2.11914354,1.855729734,1.375048209,1.067885685,0.855001322,4.0897346919999995,3.810857845,3.5479337189999995,2.192143914,4.169665585,2.103807722,1.8366416859999999,0.25,0.0,25.49443142,4.4483513519999995,13.28293535,5.385432177999999,4.5376834530000005,-0.02300553,24.0,0.595275394,0.0,0.272,2.401,6.6618947010000005,7.785854017999999,8.347281192,8.911883006,9.314783876,10.23932451,20.24690143,7.0,8.634216612000001,14.37754701,6.4
20.0,23.0,-0.371932608,0.187739021,11.31036002,4.13384193,2.152303971,1.7543096980000001,1.6676150859999999,4.0961777669999995,3.820382574,2.184316585,1.278977359,4.150540808,3.672847705,2.1191499240000002,1.856196555,1.4938136709999998,1.067938592,0.870297922,4.08973976,3.8111881380000003,3.5496789619999998,2.192157407,4.169674818,2.103814414,1.83710977,0.25,0.0,25.75381258,4.4225182819999995,13.32999755,5.392949184,4.552633299,-0.08550553,24.0,0.595275394,0.0,0.272,2.419,6.665723526,7.79005286,8.35206977,8.916987302,9.320581585,10.24454243,19.94865844,7.0,8.647269499,14.34200111,6.15
