naAromAtom,nAromBond,BCUTc-1l,BCUTc-1h,BCUTp-1h,nBondsM,SpMin1_Bhm,SpMin2_Bhm,SpMin3_Bhm,SpMin4_Bhm,SpMax1_Bhv,SpMax2_Bhv,SpMin1_Bhv,SpMax1_Bhe,SpMax3_Bhe,SpMin1_Bhe,SpMin2_Bhe,SpMin4_Bhe,SpMin6_Bhe,SpMax1_Bhp,SpMax2_Bhp,SpMax3_Bhp,SpMin1_Bhp,SpMax1_Bhi,SpMin1_Bhi,SpMin2_Bhi,SCH-6,VCH-5,SpMAD_Dt,SHaaCH,SaaN,minHBa,maxaaN,hmin,nAtomP,MDEC-33,MDEN-22,MDEN-23,MLFER_A,MLFER_BH,piPC5,piPC7,piPC8,piPC9,piPC10,TpiPC,R_TpiPCTPC,nTRing,WTPT-4,WTPT-5,pChemBL
16,18,-0.395197009,0.211820911,11.04926927,18,2.082894214,1.917432788,1.84417766,1.750754277,4.003926314,3.79720213,2.129651806,4.084889041,3.726868236,2.036210893,1.839001225,1.562045763,1.271648566,3.994908022,3.786641494,3.545930441,2.14438628,4.117164384,2.013465374,1.813721429,0.361741773,0,23.76475004,2.764974119,14.84756253,2.188313695,5.009638145,-0.18945579,19,11.02907771,1.190550789,2.121320344,0.348,2.839,6.437201498,7.481229945,7.991362321,8.528420167,8.939872306,9.888853356,11.82270382,6,11.2670525,16.67175273,6.82
18,20,-0.324459367,0.303911241,11.85883856,23,2.141224261,2.023361145,1.870068199,1.784411192,4.063409346,3.852517782,2.148489746,4.113085425,3.834773485,2.089405246,1.90986197,1.653863981,1.136826238,4.061045977,3.857187195,3.72691002,2.148018796,4.134689917,2.073081716,1.88399491,0.762728139,0.21545042,26.55990538,4.80416443,5.006665722,1.506515204,5.006665722,-0.114131354,26,11.35633787,1.10520945,1.190550789,0.061,2.107,6.583841356,7.714060232,8.24199948,8.756425374,9.193246269,10.12267814,14.0839203,9,2.565236648,15.38996438,7.64
27,29,-0.291902394,0.416959627,10.45585401,30,2.049118255,1.94555708,1.911229023,1.769680937,3.997382996,3.82147261,2.097400145,4.115953162,3.850650599,1.992038044,1.863835039,1.695777164,1.259727136,3.981908197,3.817261882,3.757620375,2.111927598,4.162630492,1.964412118,1.841139617,0.47565901,0.033333333,26.63837373,9.315574234,13.12988009,2.431751749,4.734192707,-0.014565799,26,7.61475117,2.576756416,1.374729637,-0.07,2.752,6.481624984,7.342774133,7.783044964,8.171346685,8.584202169,9.627424565,11.94826987,6,2.556013944,22.09821052,4.3
6,6,-0.386199196,0.226177978,11.05452637,15,1.972555353,1.908991079,1.879488574,1.851108823,3.813270789,3.702209965,1.971061224,3.885392356,3.776560298,1.869240321,1.72057565,1.668010883,1.583007933,3.815582656,3.6891166,3.606776403,1.970824886,3.912610757,1.848141401,1.678649982,0.219416097,0.091287093,24.73682863,2.1926873,0,1.3879949,0,-0.177538552,7,22.74020476,2.658167446,0.927030305,2.48,8.392,5.546397403,5.544933274,5.816739067,5.858647185,5.889570239,7.770856182,1.761710037,2,20.27606435,41.33585739,6.03
21,23,-0.386170933,0.198694361,11.87716012,25,2.01952347,1.963037526,1.877156221,1.633266374,4.096907339,3.879452519,2.012380159,4.157766466,3.807363372,1.946001163,1.893588694,1.543220999,1.092010263,4.090905835,3.864239137,3.760442657,2.006680939,4.17979887,1.931769302,1.873523152,0.67272605,0.056765518,24.58756463,5.643161031,0,3.405863463,0,-0.1177079,29,19.54873931,0,0,1.245,1.589,6.60833795,7.610075106,8.146986253,8.569907195,8.994671986,9.976049737,14.00012589,7,13.65572832,3.216335555,6.42
20,23,-0.371932609,0.187751785,11.31281643,23,2.152307339,1.918716156,1.809741955,1.673648675,4.096179099,3.82051678,2.184320168,4.150543253,3.676638688,2.119151597,1.856413035,1.554880792,1.068398421,4.089740954,3.81131693,3.551469424,2.192161198,4.169677159,2.103816091,1.837309191,0.25,0,26.06467663,4.40249369,13.38006009,5.401030782,4.568806138,-0.12550553,24,14.88834242,0.595275394,0,0.272,2.419,6.66699655,7.791913368,8.354455488,8.919698977,9.323976366,10.24748328,19.68628901,7,8.671683209,14.41379342,6.5
20,23,-0.371932611,0.187777389,11.31527324,23,2.152310049,1.923753467,1.882538424,1.680281061,4.096179776,3.820639471,2.184322515,4.150544551,3.691498768,2.119152564,1.856673529,1.594347369,1.170105385,4.08974158,3.811443601,3.564782076,2.192163493,4.169678446,2.103817022,1.837525981,0.25,0,26.68703354,4.370412196,13.45065396,5.414015571,4.59200173,-0.181061085,24,15.57827326,0.595275394,0,0.272,2.437,6.669537746,7.794388673,8.356571358,8.922403319,9.327584808,10.25076556,19.22771885,7,8.686065545,14.45608692,6.04
20,23,-0.371932611,0.187777389,11.31527324,23,2.152310049,1.923753467,1.882538424,1.680281061,4.096179776,3.820639471,2.184322515,4.150544551,3.691498768,2.119152564,1.856673529,1.594347369,1.170105385,4.08974158,3.811443601,3.564782076,2.192163493,4.169678446,2.103817022,1.837525981,0.25,0,26.68703354,4.370412196,13.45065396,5.414015571,4.59200173,-0.181061085,24,15.57827326,0.595275394,0,0.272,2.437,6.669537746,7.794388673,8.356571358,8.922403319,9.327584808,10.25076556,19.22771885,7,8.686065545,14.45608692,5.86
20,23,-0.371932616,0.187724994,11.30544753,23,2.152294664,1.916218566,1.693627987,1.626054704,4.096171943,3.820018882,2.184304739,4.150530742,3.668946377,2.11914354,1.855729734,1.375048209,1.067885685,4.089734692,3.810857845,3.547933719,2.192143914,4.169665585,2.103807722,1.836641686,0.25,0,25.49443142,4.448351352,13.28293535,5.385432178,4.537683453,-0.02300553,24,14.28575639,0.595275394,0,0.272,2.401,6.661894701,7.785854018,8.347281192,8.911883006,9.314783876,10.23932451,20.24690143,7,8.634216612,14.37754701,6.4
20,23,-0.371932608,0.187739021,11.31036002,23,2.152303971,1.917507794,1.754309698,1.667615086,4.096177767,3.820382574,2.184316585,4.150540808,3.672847705,2.119149924,1.856196555,1.493813671,1.067938592,4.08973976,3.811188138,3.549678962,2.192157407,4.169674818,2.103814414,1.83710977,0.25,0,25.75381258,4.422518282,13.32999755,5.392949184,4.552633299,-0.08550553,24,14.88834242,0.595275394,0,0.272,2.419,6.665723526,7.79005286,8.35206977,8.916987302,9.320581585,10.24454243,19.94865844,7,8.647269499,14.34200111,6.15
26,29,-0.371932618,0.396284877,11.31680132,29,2.152312814,1.987599971,1.914214089,1.70001065,4.096181239,3.843783584,2.184325473,4.150547004,3.894138426,2.119154421,1.892138189,1.603965568,1.182991702,4.089742942,3.84432531,3.809694977,2.192166782,4.169680677,2.103818942,1.87092982,0.333333333,0,30.18894817,6.997311582,13.31058469,5.399639365,4.544613678,-0.196609673,24,16.31641754,0.595275394,0,0.272,2.343,6.802221137,7.847057333,8.379684256,8.938920404,9.344549306,10.28247656,17.33836181,8,8.701812452,14.50239315,6.05
