naAromAtom,nAromBond,BCUTc-1l,BCUTc-1h,BCUTp-1h,SpMax1_Bhm,SpMin1_Bhm,SpMin3_Bhm,SpMin4_Bhm,SpMax1_Bhv,SpMax2_Bhv,SpMin1_Bhv,SpMin7_Bhv,SpMax1_Bhe,SpMax3_Bhe,SpMin1_Bhe,SpMin2_Bhe,SpMin4_Bhe,SpMin6_Bhe,SpMin8_Bhe,SpMax1_Bhp,SpMax2_Bhp,SpMax3_Bhp,SpMin1_Bhp,SpMax1_Bhi,SpMin1_Bhi,SpMin2_Bhi,SCH-6,VCH-5,SpMAD_Dt,SHaaCH,SaaN,minHBa,maxaaN,hmin,nAtomP,MDEN-22,MDEN-23,MLFER_A,MLFER_BH,piPC5,piPC7,piPC8,piPC9,piPC10,TpiPC,R_TpiPCTPC,nTRing,WTPT-4,WTPT-5,pChemBL
6.0,6.0,-0.378480507,0.232025487,9.963698378,3.853139162,1.951654153,1.702673148,1.45987585,3.820208788,3.692200061,1.967082679,1.093637024,3.89352496,3.609725914,1.868317827,1.754019223,1.3198460440000002,1.018928274,0.719603074,3.820006445,3.668546382,3.3995498160000004,1.978151806,3.926116181,1.844750661,1.7130709119999998,0.253436788,0.0,17.89230407,2.294750279,0.0,1.954896019,0.0,0.069568689,11.0,0.944940787,0.825481812,0.594,2.943,5.4130401689999985,5.666859121,5.701488178,5.764995159,5.954703307000001,7.659318762000001,3.479987685,3.0,8.115570488,15.19373266,5.64
12.0,12.0,-0.380724159,0.206370123,10.41484545,3.915511251,1.974877889,1.841965557,1.685972431,3.835640657,3.720182777,2.023554648,1.374578027,3.952568761,3.799821754,1.887525188,1.75666704,1.456509081,1.256536221,1.027286225,3.822541087,3.706555364,3.659495789,2.034825687,3.990644807,1.853489519,1.729393366,0.457560933,0.091287093,24.44014488,1.830388295,13.39992926,1.950791431,4.502118226,-0.33845075,8.0,0.650697637,1.18558593,0.003,3.043,5.771830455,6.212167622999999,6.529829338,6.92801736,7.256804345,8.475355056,3.713497289,6.0,11.52628386,16.30055954,6.84
21.0,23.0,-0.385693303,0.194858867,11.34563442,4.132372342,1.99801047,1.828317644,1.481541171,4.027091349,3.768257338,2.060747749,1.051764668,4.147732392,3.762259861,1.936530818,1.834741487,1.336664632,0.900242357,0.8099638990000001,4.008081175,3.768338672,3.630886345,2.080406614,4.1927413210000015,1.903563046,1.81185047,0.462027588,0.025,21.00904533,5.667199178,13.31827565,1.938552532,4.653480726000001,0.052369615,23.0,1.650963624,1.681792831,0.546,3.019,6.359303503,7.278105816,7.795276741,8.122179333,8.511493777,9.565698981,14.93813809,5.0,2.5284422280000003,16.06348438,6.22
19.0,22.0,-0.332515782,0.16927260000000002,10.55488278,4.166850451,2.089446998,1.899551441,1.7703937230000002,4.114308102,3.870644965,2.091068745,1.285229005,4.186390578,3.727957315,2.029300464,1.865620832,1.654600335,1.147506055,0.925075153,4.106014956,3.872144903,3.592541823,2.087825848,4.216124537,2.0125881430000003,1.841416038,0.543700392,0.03125,25.13835022,4.164458469,8.726482584,2.540549844,4.591810978,-0.124822017,21.0,0.965489385,0.30411009999999994,0.416,1.828,6.580985817999999,7.720153167999999,8.300378205,8.74745882,9.240190678,10.14734872,20.22372644,8.0,0.0,15.36168199,9.0
6.0,6.0,-0.378087808,0.396519854,10.71975414,3.932491045,1.993399357,1.6332885659999998,1.55268859,3.877361911,3.739910082,1.99287041,1.285229005,3.961728633,3.653893724,1.910657463,1.733758535,1.403007025,1.088166223,0.910485725,3.875022398,3.713189285,3.446183498,1.994736795,4.000016811,1.891165871,1.692535595,0.417297329,0.033333333,21.07313521,1.806312136,0.0,1.395723616,0.0,0.01843502,11.0,0.0,1.5,0.003,2.964,5.68336716,6.244045534,6.527135211,6.775437435,7.074566546000002,8.378139436,3.965274613,5.0,5.597465453,13.70695102,7.05
12.0,12.0,-0.35560809200000004,0.23765274,11.76539038,4.726902052,1.965547083,1.770509301,1.5160205569999998,3.953980838,3.847802135,2.048552456,1.118765813,4.053733562,3.778173224,1.943438729,1.879671348,1.421602415,1.064084137,0.7986202309999999,4.07722449,3.844921008,3.647413855,2.03412775,4.033041987,1.953090821,1.862707287,0.287457479,0.0,21.53887894,3.382430798,4.2460277039999985,0.669555441,4.2460277039999985,0.042037357,28.0,0.543690187,0.766309432,0.359,2.649,6.099758257,6.721990299999999,7.041028826,7.465583756,7.824158505,8.966188622999999,7.252488426,5.0,10.36514634,12.74834941,7.31
18.0,20.0,-0.33120462100000003,0.266892254,10.24264938,4.031205905,2.116513066,1.847445138,1.6835955269999998,4.019067867,3.846119813,2.117548367,1.285229005,4.063893782,3.733022824,2.054701803,1.892408271,1.549939652,1.021529267,0.8263577790000001,4.019954986,3.848279231,3.593879831,2.113397554,4.08385434,2.037925781,1.872768043,0.333333333,0.0,19.75565068,5.7326886560000005,4.383280367,2.3522148730000003,4.383280367,-0.069708114,22.0,0.0,0.239045722,0.591,1.903,6.23893479,7.211372214,7.619079993,8.117675984,8.577820018999999,9.541256746,14.90517515,4.0,4.837776806,9.774958153,7.22
17.0,18.0,-0.308649664,0.153043769,10.93558993,4.028576363,1.989756415,1.818494113,1.746412304,3.961099305,3.772661921,1.998763512,1.425210818,4.057428869,3.787159012,1.91759484,1.841439467,1.546923866,1.32211207,1.191683123,3.951769257,3.759942365,3.660805174,2.004726491,4.097334299,1.898361376,1.7970280280000002,0.515922614,0.14067091199999998,21.61738588,3.438739722,13.60531416,2.260464581,5.033545971000001,-0.160376512,11.0,0.598408481,1.714659407,0.25,2.416,6.113128929,6.790448692000001,7.141702757000001,7.470433337999999,7.776439989,8.981662001,5.949770942000001,5.0,0.0,22.28293961,7.68
25.0,29.0,-0.332520798,0.127798315,10.73860037,4.1792147260000005,2.09418856,1.924140427,1.786941499,4.125748633,3.889075692,2.1005921830000003,1.285229005,4.198485698,3.826733157,2.037682365,1.932000824,1.6638505259999998,1.221147548,1.018928274,4.117126883,3.889371244,3.697487094,2.100319566,4.228273799,2.020681384,1.904313763,0.645762464,0.03125,27.20020929,6.091918572999999,17.78281607,2.5563424880000003,4.69366346,-0.12982889,25.0,2.288304911,0.447199676,0.416,2.143,6.77207873,7.953535261,8.571910695,9.091916164,9.644405338,10.48109915,22.55351563,9.0,0.0,19.05955871,8.64
20.0,23.0,-0.380737535,0.244137193,10.81886182,4.139859901,2.0033415,1.872065585,1.6251635269999998,4.030823526,3.836637633,2.086184847,1.414838699,4.155037807,3.790022381,1.959694688,1.79965783,1.504181168,1.251366413,1.027977811,4.009429885,3.807902931,3.661076439,2.107880549,4.200122273,1.923546998,1.760246618,0.621196697,0.051228193,23.25011361,2.897959422,22.50238441,1.504680283,4.784295856,-0.038128304,24.0,3.34005105,3.264063155,0.618,3.117,6.590172262,7.639593435,8.171959245,8.632174041,9.097414965,10.03841834,16.41904689,6.0,5.351015674,27.97281975,7.66
29.0,32.0,-0.373960419,0.22064667,11.91719733,4.724276197,2.048818425,1.914819815,1.895327446,4.077538016,3.936379818,2.092402012,1.383312401,4.191517824,3.877676481,1.995779263,1.920455286,1.814430056,1.307157062,1.012816572,4.073602215,4.051541825,3.832985928,2.102008468,4.234623243,1.973922628,1.930232426,0.5,0.02236068,33.70326863,8.355391408,13.57186642,1.995966165,4.531934408,0.051691347,24.0,2.114371018,1.654588099,0.359,3.235,6.858466553,7.92955964,8.461592937999999,9.00629598,9.463123881,10.37445269,17.05526262,13.0,7.753073953999999,19.36192474,6.1
12.0,13.0,-0.379029431,0.396751939,10.72895584,4.01390738,2.007179397,1.790068311,1.5721712230000002,3.936948416,3.629107499,2.07317184,1.285229005,4.0287374410000005,3.663823929,1.966410153,1.697186184,1.426046308,1.018928274,0.913908547,3.923461736,3.606206375,3.445959703,2.092263871,4.062699495,1.940659754,1.649872588,0.340206909,0.0,19.3925635,2.209247882,12.92965711,1.911644857,4.618938807,0.014997126,15.0,0.825481812,1.853144012,0.25,2.305,6.080790951,6.9286755410000005,7.304127085,7.671797687000001,7.913242369,9.099442417999999,7.87097694,4.0,6.025968441,18.95099882,6.44
6.0,6.0,-0.378092718,0.268023358,10.02678369,3.935998605,1.917815215,1.719789115,1.596532144,3.886169428,3.706398233,1.9518249,1.07699746,3.970271282,3.608673657,1.843467254,1.756930119,1.4178645630000002,1.018928274,0.7190760429999999,3.880532736,3.675777867,3.401503459,1.979006768,3.999874778,1.823837765,1.719154874,0.404811503,0.055901699000000006,20.62700326,1.7560443119999998,0.0,1.468427028,0.0,0.090149912,9.0,0.5,1.189207115,0.605,2.912,5.589820255,5.920237038,6.144721971,6.134549766,6.420859782000001,7.975091876,3.194093407,5.0,8.128628156,13.14474902,7.66
6.0,6.0,-0.385499121,0.232250574,10.40649694,3.940098726,1.930940173,1.743634322,1.6628605419999998,3.899568871,3.691380819,1.95120941,1.17127185,3.978480136,3.607523125,1.850615212,1.75750387,1.465776609,1.018928274,0.7395128259999999,3.895197715,3.667629544,3.402100992,1.970433039,4.004585205,1.834614778,1.716715136,0.462989654,0.045643545999999986,20.97357809,1.590783178,0.0,1.653892826,0.0,0.025383322000000003,10.0,0.5,1.189207115,1.148,3.284,5.592618112,5.91939776,6.175997198999998,6.187172665,6.4326386,7.991835402,3.223248364,5.0,10.70063954,13.15798755,7.24
10.0,11.0,-0.294718944,0.277837028,12.83914192,4.387757882,1.871080845,1.811381697,1.643562785,4.0190249,3.705050661,1.892523956,1.247536584,4.068189972,3.690701902,1.817430899,1.677950471,1.497719736,1.073664313,0.902091137,4.0987941,3.721900383,3.676088182,1.87716132,4.077287512,1.808331876,1.645711296,0.62623949,0.211466239,22.49027106,0.0,9.883252407,-1.632113279,5.088893259,-0.175015968,14.0,0.8772053209999999,0.784136938,0.09,2.449,5.942142992000001,6.8283738110000005,7.23925984,7.491924297000001,7.726536539,8.97156552,6.551515703,7.0,4.990301038,15.25301575,8.0
0.0,0.0,-0.378077229,0.268539048,9.879675532,3.818655681,1.86508612,1.6386528269999998,1.41411819,3.695439599,3.421389987,1.941348336,0.911275716,3.856439624,3.488717367,1.7568914919999998,1.531616223,1.198587782,0.724511335,0.381848053,3.670548614,3.402749059,3.248195833,1.963436332,3.899751026,1.716614108,1.4900634869999998,0.170103454,0.0,13.94275308,0.0,0.0,1.965668698,0.0,0.090969309,8.0,0.5,0.7071067809999999,0.605,2.652,4.672828834,4.859812404,4.997212274,4.744932128,4.532599493,6.829793737999999,2.298507463,2.0,10.90762487,9.655502674,6.99
17.0,18.0,-0.333169598,0.17061271600000005,10.87774301,4.035104349,1.987358572,1.913912736,1.76226207,3.964091926,3.767860416,1.996682282,1.285229005,4.061075604,3.789548893,1.917976272,1.835128049,1.6680787030000002,1.256211555,1.000354851,3.953492731,3.752016053,3.656469734,2.00396484,4.100319287,1.899365884,1.788987224,0.515922614,0.14067091199999998,21.06945411,3.4639138430000003,13.16633761,2.09545102,4.92032452,-0.128904675,11.0,0.598408481,1.714659407,0.25,2.517,6.130138942,6.812671636,7.120444372000001,7.451509325,7.75604818,8.974460787,6.051921695,5.0,0.0,24.64851418,6.85
12.0,12.0,-0.38528484,0.22128729,11.74787845,4.02096137,1.950799567,1.724171079,1.654544176,3.919055158,3.816073009,1.945014079,1.131358829,3.99781329,3.734202666,1.862659628,1.854397768,1.452583651,1.000434418,0.813558071,3.91530419,3.816767802,3.579636686,1.957361725,4.021763122,1.856361023,1.837486576,0.424055176,0.157446945,20.54336203,3.1643324660000003,0.0,0.344298965,0.0,0.018671453,11.0,0.0,0.0,0.737,2.169,5.808517795,6.209532741,6.514249621,6.741626902,7.026843019,8.372673072000001,4.002023588999998,5.0,10.23888918,6.896587648,6.22
15.0,16.0,-0.292345228,0.197455817,10.11635293,4.079615543,1.929176628,1.574939046,1.5370128440000002,3.940763176,3.766975968,2.02070818,1.285229005,4.092660383999998,3.762295477,1.870716342,1.777970368,1.351857405,1.067806484,0.8945894959999999,3.913150005,3.755779372,3.650406751,2.049520432,4.147841505,1.830363817,1.7393796419999998,0.466609971,0.028867513,19.86358433,2.5972453840000003,13.07741465,2.7573743960000003,4.514403345,0.08070007400000001,22.0,3.3337841260000003,1.932412844,0.106,2.968,6.140557817,6.911474915,7.385165494,7.614859296,7.987703589,9.13565976,9.401619491,5.0,2.399899637,24.52974728,7.38
22.0,24.0,-0.31095041,0.15571412199999998,10.96417936,4.035745525,2.007981527,1.879873375,1.844055106,3.972054718,3.917748266,2.027260996,1.4754060880000002,4.06411522,3.813870124,1.937456962,1.899668504,1.645567801,1.317907905,1.1741783140000002,3.963679061,3.90343245,3.698787991,2.0385881340000003,4.103369196,1.919376367,1.867178811,0.481901923,0.066135313,22.89798735,4.084814833,17.96868725,2.270504015,5.096279445,-0.190215799,13.0,2.413266909,2.357578146,0.531,2.577,6.385405168999998,7.158222126,7.503616892,7.846690796,8.07812242,9.314322712000001,7.2752843239999985,5.0,0.0,27.89199016,8.26
6.0,6.0,-0.394234981,0.232248054,10.77967081,3.926041035,1.937471546,1.745310754,1.6579171030000002,3.888358133,3.690683332,1.950870482,1.161548033,3.969717323,3.606685985,1.842422564,1.75731296,1.477076614,1.018928274,0.817816708,3.886539039,3.667244186,3.407544348,1.970270585,4.000274747,1.819807438,1.7166357819999998,0.465464376,0.045643545999999986,21.16036985,1.960017034,0.0,1.621763196,0.0,0.02261578,9.0,0.5,1.189207115,0.861,3.323,5.555137444,5.893110677,6.168367806,6.16133917,6.379751705,7.956027766,3.1337568680000003,5.0,10.64367693,13.1930135,7.57
