ATSC4c,ATSC2v,SCH-7,ASP-7,hmin,ETA_BetaP_s,IC1,IC2,SIC2,BIC2,ZMIC1,ZMIC2,MDEO-11,nHeteroRing,n6HeteroRing,nT6HeteroRing,LipinskiFailures,pChemBL
0.578279771,179.753983,0.369800794,0.033884543,0.072783922,0.6875,3.988301802,4.841614915,0.871642356,0.83005421,38.68077623,28.51277632,0.388067491,2,2,2,0,5.76
-0.115642432,252.4551415,0.621970683,0.028386373,0.072470908,0.67188,4.396648374,5.030633374,0.916017469,0.848230682,42.29531138,34.67132883,0.512992784,3,3,3,0,7.94
-0.097349125,325.9557347,0.578326945,0.029740189,-0.174475163,0.65152,3.897112559,4.760293803,0.83106842,0.772791109,56.38096293,38.83002751,0.650697637,2,0,0,0,6.34
0.464415387,-30.11307374,0.700830953,0.026403186,0.029771825,0.68333,4.016155942,4.604827608,0.838483391,0.771872966,46.25594302,34.93552663,0,3,2,2,0,7.96
-0.134784783,349.0321904,0.881447441,0.028300101,-0.053398383,0.68519,3.757635491,4.808387905,0.856391165,0.814030297,39.26607721,27.84708388,0.2,3,1,1,0,6.82
0.186520604,618.4208797,0.639198186,0.027204992,-0.198944617,0.68382,3.528974379,4.793532383,0.795954769,0.762645288,51.28638314,33.92043397,0,4,4,4,0,5.54
-0.139793231,-215.0542267,0.823865572,0.031623724,-0.228193691,0.63194,3.260796158,4.373034619,0.734445825,0.68319278,76.64715409,46.30160935,0,3,2,2,1,6.52
0.189401668,570.3397727,0.864503414,0.027890665,0.05116532,0.73077,3.911595602,4.71695048,0.880430181,0.81044767,41.21377974,27.34290148,0,4,2,2,0,6.42
-0.338815692,397.0270492,0.757178322,0.029817979,0.072437489,0.63333,4.021821235,4.997790598,0.881067673,0.82684724,47.30125794,32.10560015,0,3,1,1,0,6
-0.139796582,1534.195307,1.163337256,0.026791223,-0.185627819,0.66935,3.473495738,4.73739328,0.798786561,0.769073414,44.10617372,33.2850972,0.2,3,0,0,0,7.6
0.351619446,112.5841159,0.733803114,0.028882772,0.070717435,0.6875,4.013774473,4.756508532,0.856320541,0.802009643,38.14135089,28.40674576,0,3,1,1,0,7.55
-0.104606458,456.5203108,0.92045473,0.027903844,-0.093572017,0.66667,3.66889081,4.863463522,0.880494065,0.813658317,43.63532833,25.08926924,0,4,3,3,0,8.64
-0.19496872,1107.536522,0.934301847,0.027286788,-0.107773383,0.67241,3.570136611,4.549097213,0.786855937,0.752614261,42.24404864,31.47678301,0.2,3,1,1,0,8.4
-0.173735035,-583.2258675,0.710792961,0.027071949,0.084718493,0.67143,3.220425968,4.147214084,0.714131328,0.659816817,75.60602211,46.29228519,0,3,1,1,1,5.54
0.057269271,-33.45335052,0.32207203,0.036804033,-0.380199866,0.59559,2.172996013,3.565166462,0.554780514,0.551931915,76.2856531,61.03993785,0.721124785,0,0,0,2,5.51
0.721179192,41.43203682,0.33221431,0.034809104,0.065741528,0.69,3.764845167,4.675077819,0.851275105,0.8123665,37.36929089,27.05960706,0.166666667,2,2,2,0,7.33
0.06057396,-833.7093544,0.195368604,0.046970121,-0.210220941,0.58065,1.827069367,3.053534233,0.478982799,0.477688142,83.10681252,69.6549485,0.5,1,1,1,2,5.28
0.093545565,1104.557624,1.043134564,0.025832606,-0.198750748,0.68382,3.833904183,4.848884617,0.814364251,0.769202612,45.73109946,32.04676188,0,4,0,0,0,8.4
-0.404204508,429.9863329,0.672567507,0.025236325,-0.047526022,0.69167,3.946495761,4.73366069,0.838728084,0.79657537,43.55829834,36.10612879,0.5,3,3,3,0,6.5
-0.236559109,361.8077471,0.462034601,0.029944668,-0.027793367,0.6875,3.738005167,4.869245454,0.850089573,0.813074274,38.48694482,28.01459108,0.090909091,4,4,4,0,6.89
0.584671001,-67.05778614,1.129197684,0.027566391,-0.082423438,0.7069,3.657739761,4.81073467,0.843923435,0.80483677,41.04286809,30.02724073,0.166666667,3,2,2,0,7.43
