naAromAtom,nAromBond,BCUTc-1l,BCUTc-1h,BCUTp-1h,SpMax1_Bhm,SpMin1_Bhm,SpMin3_Bhm,SpMin4_Bhm,SpMax1_Bhv,SpMax2_Bhv,SpMin1_Bhv,SpMin7_Bhv,SpMax1_Bhe,SpMax3_Bhe,SpMin1_Bhe,SpMin2_Bhe,SpMin4_Bhe,SpMin6_Bhe,SpMin8_Bhe,SpMax1_Bhp,SpMax2_Bhp,SpMax3_Bhp,SpMin1_Bhp,SpMax1_Bhi,SpMin1_Bhi,SpMin2_Bhi,SCH-6,VCH-5,SpMAD_Dt,SHaaCH,SaaN,minHBa,maxaaN,hmin,nAtomP,MDEN-22,MDEN-23,MLFER_A,MLFER_BH,piPC5,piPC7,piPC8,piPC9,piPC10,TpiPC,R_TpiPCTPC,nTRing,WTPT-4,WTPT-5,pChemBL
26.0,29.0,-0.294496943,0.206236797,11.62891154,4.162135175,2.078135346,1.745823142,1.595154519,4.064336715,3.813522767,2.119878745,1.309140923,4.176155914,3.820774676,2.022671624,1.803404167,1.476722277,1.158726386,0.99811296,4.047503829,3.801146607,3.616794943,2.132228906,4.21890097,1.996604325,1.7614690590000002,0.533505757,0.0622678,22.22127046,4.741794895,26.0706316,2.782778884,4.721585097,0.039312917,28.0,5.894729867000001,2.12401759,0.444,3.516,6.650319475,7.806416521,8.401509611,8.880829667999999,9.390847132000001,10.27480707,19.44461692,6.0,0.0,30.68840106,7.89
17.0,19.0,-0.27925257800000003,0.239618935,10.36472256,4.038367161,2.031530935,1.617559836,1.484937184,3.95996964,3.726187464,2.087078374,1.217140224,4.058240328,3.690436835,1.983196083,1.740740121,1.269062045,1.172813789,0.683215658,3.947254386,3.696917817,3.486507656,2.102257166,4.0983689210000005,1.955422703,1.6957774019999998,0.274971652,0.028867513,20.06145589,2.600913026,21.77209615,1.898255387,4.694757181,0.014217215,21.0,4.546759141,1.37756174,-0.006999999999999999,1.912,6.210976512,7.223922307,7.677480036,8.126381907999999,8.54771103,9.542256206,14.26341399,5.0,2.551450607,24.95345789,6.43
25.0,28.0,-0.367316202,0.184133617,9.970981063,4.0499050830000005,2.081930143,1.857975804,1.774936415,4.009330032,3.998322746,2.117505949,1.186933717,4.079857085,3.809422838,2.032533293,1.900843954,1.6081247909999998,1.250305523,0.893581434,4.006020956,3.990859983,3.719648558,2.125782416,4.10953089,2.011099422,1.881062562,0.525602315,0.036084392,25.87731998,7.129012891,13.0764506,3.291702356,4.722527556,-0.214178005,17.0,0.8126410340000001,0.0,0.396,2.221,6.489442365,7.33564926,7.758438585,8.088166545,8.346418307999999,9.52266113,13.02662506,7.0,3.100986634,14.95654516,6.72
9.0,10.0,-0.378095285,0.23220127,9.982443217,4.037947835,1.963109548,1.704911426,1.4755281130000002,3.954158006,3.683576355,1.964446604,1.05563131,4.059046748,3.5928159660000003,1.881944948,1.7573723419999998,1.335224237,1.018928274,0.738290584,3.936984179,3.660759896,3.387980532,1.966527896,4.07006555,1.866495795,1.715971251,0.429783155,0.022821773,20.21190988,1.572182544,4.478373488,2.054020744,4.478373488,-0.06169674400000001,9.0,0.944940787,0.825481812,0.605,2.582,5.816739067,6.456045787000001,6.868531128,6.986302879,7.294154363,8.592122366,6.515162107,5.0,8.719099735,12.86081474,6.7
10.0,11.0,-0.414806745,0.277892182,12.66374035,4.35600838,1.851215421,1.7070584080000002,1.6423124880000002,3.955378601,3.680543982,1.831589718,1.189063116,4.011134188,3.702447787,1.710570168,1.6551538959999998,1.4704551030000002,1.093424922,0.855084466,4.043293131,3.726545933,3.645739762,1.816999916,4.021479123,1.695766663,1.6344660359999998,0.554125085,0.22205786,16.73674551,0.37734104,9.47426863,-1.7126225380000002,4.905048371,-0.119876506,14.0,0.8772053209999999,0.784136938,-0.255,2.767,5.680172609,6.475288253,6.7646965020000005,7.030000566,7.13759511,8.537879313,6.4438229960000015,3.0,7.515909702,15.05617378,6.75
15.0,16.0,-0.317884906,0.220550356,11.17652084,4.030927515,1.984199512,1.797482221,1.776029174,3.938090562,3.832492123,2.011491919,1.391106485,4.05764422,3.78402554,1.885523985,1.842828085,1.5782801169999998,1.332548394,1.018928274,3.921392497,3.841567224,3.650727934,2.0204994430000003,4.103745397,1.861747623,1.804138671,0.374918214,0.041666667,20.2934121,3.399896345,8.764293563999999,0.834246501,4.491244098999999,-0.048237442,10.0,1.313814579,1.314540812,0.8059999999999999,3.011,5.899040822000001,6.414035123,6.723630535,6.651486074,6.878527594,8.417321058999999,4.283868963,5.0,2.556754889,21.4327053,6.9
12.0,12.0,-0.378577324,0.239531449,12.99737771,4.092016998,2.022959652,1.847339399,1.801120468,3.932359937,3.746169775,2.0298715080000003,1.495196465,3.993074179,3.816138694,1.949718881,1.785961876,1.6676933930000002,1.46884511,1.238303483,3.942077997,3.760196628,3.706910046,2.029603682,4.012613315,1.932640387,1.7467143880000002,0.601953024,0.079056942,30.03953183,2.568682481,8.238984983,-1.444782543,4.283560766,-0.17395294,15.0,1.190550789,1.107610622,0.444,4.577,6.186208624,6.846012845,7.235596626,7.550414762000001,7.872586144,9.066733391,4.874103123,7.0,5.612293341,27.98949384,9.0
21.0,23.0,-0.315876883,0.24309427600000005,11.95104105,4.725119637,2.047578809,1.732978677,1.418772346,4.02221226,3.851153915,2.111854305,1.0708926909999998,4.126160074,3.830548194,2.016036106,1.860543194,1.401227093,1.0386395940000002,0.7986202309999999,4.088426494,3.905764295,3.779666987,2.105581677,4.1619736939999985,2.006360635,1.839401145,0.485744596,0.02236068,20.60696309,6.130460188,12.26386928,2.739510955,4.115448003,0.071908583,20.0,1.115679076,1.382883139,0.606,1.689,6.307358186,7.215911857999999,7.683486407,8.049577957999999,8.474741044,9.504236932000001,15.19303643,5.0,4.982110468999999,18.22828899,5.9
23.0,25.0,-0.334868961,0.399253075,11.38270913,4.044816704,2.054141519,1.944171903,1.904039124,3.978413311,3.957197905,2.080641969,1.471979521,4.069349476,3.842326664,1.994898515,1.938260212,1.7144739269999998,1.450174581,1.173964186,3.96897889,3.952205978,3.714962436,2.087301752,4.10641355,1.97519683,1.922162977,0.583963996,0.14067091199999998,25.88516975,5.74346872,13.60519245,2.043219657,4.837982683,-0.148302006,17.0,0.598408481,1.714659407,0.25,2.69,6.576556612999999,7.445928524,7.859322658,8.205888455,8.459211461,9.63822264,7.93536197,6.0,5.198828378,22.29454812,7.37
29.0,32.0,-0.285308861,0.220525411,11.91692777,4.724112133,2.048842358,1.927625262,1.896780961,4.077532439,3.931612578,2.092362136,1.363820063,4.1915144280000005,3.876475961,1.995754416,1.91933704,1.814236875,1.30257288,0.9762004,4.072839411,4.051077707,3.832797501,2.101985895,4.234622679,1.973479025,1.926823128,0.5187287389999999,0.02236068,33.42087374,8.606903042,13.56195751,2.00164684,4.529276008,0.076324638,24.0,2.114371018,1.654588099,0.359,3.074,6.833334758,7.909311594,8.458734483999999,9.002979333999999,9.459184412,10.36620795,17.48309477,13.0,4.9665745910000005,19.35906615,6.85
